identity,composite,marcKey,person,roles,title,attribution,provision,subjects,genres,relatedWork,recordId,personId,setfit_prediction,is_parent_category
558.0,"Title: Liturgy, episcopacy, and church ritual: three speeches
Subjects: Church of England
Provision information: Oxford: John Henry Parker, 1840","1001 $aLaud, William,$d1573-1645.$0http://id.loc.gov/authorities/names/n50039777","Laud, William, 1573-1645",Contributor,"Liturgy, episcopacy, and church ritual: three speeches",by William Laud,"Oxford: John Henry Parker, 1840",Church of England,,,760402,760402-9398dfe6-6e76-476f-9220-72e0ade0b40a#http://id.loc.gov/rwo/agents/n50039777,"Religion, Theology, and Spirituality",False
582.0,"Title: The fair penitent: A tragedy. As it is acted at the new theatre in Little Lincolns-Inns-Fields. By Her Majesty's Servants
Subjects: English drama (Tragedy)
Genres: Tragedies (Drama)
Provision information: London: Printed for J. Tonson, 1703","1001 $aRowe, Nicholas,$d1674-1718.$0http://id.loc.gov/authorities/names/n50022308","Rowe, Nicholas, 1674-1718",Contributor,The fair penitent: A tragedy. As it is acted at the new theatre in Little Lincolns-Inns-Fields. By Her Majesty's Servants,"Written by N. Rowe, esq","London: Printed for J. Tonson, 1703",English drama (Tragedy),Tragedies (Drama),,1272187,1272187-57a05c53-fb9f-44e2-bd79-e1b6d534cf5e#http://id.loc.gov/rwo/agents/n50022308,Literature and Narrative Arts,False
4436.2,"Title: Helpes to humiliation
Subjects: Repentance--Early works to 1800; Humility--Christianity
Provision information: Printed at London: By T. Cotes, for Peter Whaly, dwelling in North-Hampton, 1630","1001 $aBolton, Robert,$d1572-1631.$0http://id.loc.gov/authorities/names/n50042049","Bolton, Robert, 1572-1631",Contributor,Helpes to humiliation,,"Printed at London: By T. Cotes, for Peter Whaly, dwelling in North-Hampton, 1630",Repentance--Early works to 1800; Humility--Christianity,,,1492048,1492048-d3f4c2c2-24bb-418e-bc5c-acb7c0c9df18#http://id.loc.gov/rwo/agents/n50042049,"Religion, Theology, and Spirituality",False
4560.7,"Title: Certain briefe observations and antiquaeries on Master Prin's Twelve questions about church government: wherein is modestly showne how un-usefull and frivolous they are, how bitter and unchristian in censuring that way, whereas there are no reasons brought to contradict it
Subjects: Prynne, William, 1600-1669. Twelve considerable serious questions touching Church government; Church polity--England--Early works to 1800; Church polity
Genres: Tracts (literary genre)
Provision information: [London?]: [publisher not identified], printed in the yeare 1644","1001 $aRobinson, Henry,$d1605?-1664?,$eauthor.$0http://id.loc.gov/authorities/names/n84233523$1https://id.oclc.org/worldcat/entity/E39PBJcgxyMJKtfMKXxv8HpkjC","Robinson, Henry, 1605?-1664?",Author,"Certain briefe observations and antiquaeries on Master Prin's Twelve questions about church government: wherein is modestly showne how un-usefull and frivolous they are, how bitter and unchristian in censuring that way, whereas there are no reasons brought to contradict it",by a Well-willer to the truth and Master Prin,"[London?]: [publisher not identified], printed in the yeare 1644","Prynne, William, 1600-1669. Twelve considerable serious questions touching Church government; Church polity--England--Early works to 1800; Church polity",Tracts (literary genre),,1272031,1272031-4ae09945-d0fd-48d3-8080-13f90783feb2#http://id.loc.gov/rwo/agents/n84233523,"Religion, Theology, and Spirituality",False
4576.0,"Title: The New England primer: containing the Assembly's catechism, the account of the burning of John Rogers, a dialogue between Christ, a youth, and the Devil, and various other useful and instructive matter. Adorned with cuts
Subjects: Readers (Primary); Catechisms, English
Genres: Alphabet books; Juvenile literature
Provision information: Worcester: Published by William Allen, [between 1854 and 1866]","7001 $aAllen, William,$epublisher.$0http://id.loc.gov/authorities/names/n97043721","Allen, William",Publisher,"The New England primer: containing the Assembly's catechism, the account of the burning of John Rogers, a dialogue between Christ, a youth, and the Devil, and various other useful and instructive matter. Adorned with cuts",With a historical introd. by Rev. H. Humphrey,"Worcester: Published by William Allen, [between 1854 and 1866]","Readers (Primary); Catechisms, English",Alphabet books; Juvenile literature,,1337976,1337976-fedcfc02-4bb1-44db-8e64-f5b6a80b1dc2#http://id.loc.gov/rwo/agents/n97043721,"Media, Journalism, and Communication",False
58.0,"Title: Louis Lohr Martz correspondence
Subjects: Martz, Louis L. (Louis Lohr), 1913-2001; Murdoch, Iris; Hugo, Richard, 1923-1982; Ignatow, David, 1914-1997; Slavitt, Owen; Wakoski, Diane; Warren, Robert Penn, 1905-1989; American literature--20th century; British literature--20th century; Teachers--Connecticut--New Haven; Librarians--Connecticut--New Haven","60010$aLaughlin, James,$d1914-1997.$0http://id.loc.gov/authorities/names/n83177320","Laughlin, James, 1914-1997",Subject,Louis Lohr Martz correspondence,,,"Martz, Louis L. (Louis Lohr), 1913-2001; Murdoch, Iris; Hugo, Richard, 1923-1982; Ignatow, David, 1914-1997; Slavitt, Owen; Wakoski, Diane; Warren, Robert Penn, 1905-1989; American literature--20th century; British literature--20th century; Teachers--Connecticut--New Haven; Librarians--Connecticut--New Haven",,,11996954,11996954-1ddf68a8-8966-4d66-a782-ea0aab3644b2#http://id.loc.gov/rwo/agents/n83177320,Literature and Narrative Arts,False
531.0,"Title: Keith Fleming papers relating to Edmund White
Subjects: Fleming, Keith; American literature--20th century; Authors, American--20th century--Archives; Biographers--United States--20th century; Audiovisual materials--United States--20th century; Born digital--United States--20th century; Photographs--United States--20th century; Photographic prints--United States--20th century; Audiocassettes--United States--20th century; Authors--United States; Biographers--United States; LGBTQ resource","60010$aWhite, Edmund,$d1940-$0http://id.loc.gov/authorities/names/n79082217","White, Edmund, 1940-",Subject,Keith Fleming papers relating to Edmund White,,,"Fleming, Keith; American literature--20th century; Authors, American--20th century--Archives; Biographers--United States--20th century; Audiovisual materials--United States--20th century; Born digital--United States--20th century; Photographs--United States--20th century; Photographic prints--United States--20th century; Audiocassettes--United States--20th century; Authors--United States; Biographers--United States; LGBTQ resource",,,12104757,12104757-d923f5e4-58c1-4841-837b-c8c357ef8ea4#http://id.loc.gov/rwo/agents/n79082217,Literature and Narrative Arts,False
4580.0,"Title: W. S. Lewis collection of Marie du Deffand
Subjects: Alembert, Jean Le Rond d', 1717-1783; Aydie, Chevalier d' (Blaise Marie), 1692-1761; Barthélemy, J.-J. (Jean-Jacques), 1716-1795; Beauvau, Charles-Juste, prince de, 1720-1793; Boufflers, Stanislas-Jean de, 1738-1815; Champrond, Gaspard-Nicolas de Vichy, comte de, 1699-1781; Choiseul, Etienne-François, duc de, 1719-1785; Choiseul, Louise Honorine Crozat, duchesse de, 1734-1801; Du Deffand, Marie de Vichy Chamrond, marquise, 1697-1780; Formont, Jean-Baptiste-Nicolas, de, -1758; Frederick II, King of Prussia, 1712-1786; Hénault, Charles-Jean-François, 1685-1770; L'Isle, Jean-Baptiste-Nicholas, chevalier de, -1784; Lespinasse, Julie de, 1732-1776; Luynes, Marie Brulart, duchesse de, 1685?-1763.; Marie Leszczyńska, Queen, consort of Louis XV, King of France, 1703-1768; Montesquieu, Charles de Secondat, baron de, 1689-1755; Rousseau, Jean-Jacques, 1712-1778; Sainte-Aulaire, comte de (Louis Clair de Beaupoil), 1778-1854; Staal, Marguerite-Jeanne, baronne de, 1684-1750; Vintimille Du Luc, Pauline de Mailly-Nesle, marquise de, 1712-1741; Voltaire, 1694-1778; Walpole, Horace, 1717-1797; Wiart, Jean-François; Aristocracy (Social class)--France--18th century; Authors, French--18th century; French wit and humor; Gossip--France; Politicians--France--18th century; Salons--France; Word portraits; France--History--18th century; France--Intellectual life--18th century; France--Social life and customs--18th century; France--Politics and government--18th century; Walpole, Horace, 1717-1797--Ms notes; Berry, Mary, 1763-1852--Ms. notes; Sainte-Aulaire, comte de (Louis Clair de Beaupoil), 1778-1854--Ms. notes
Genres: Annotations (Provenance); Autographs (manuscripts); Correspondence; Diaries; Ephemera; Poetry; Song sheets","7001 $aBerry, Mary,$d1763-1852,$eformer owner.$0http://id.loc.gov/authorities/names/n82209464","Berry, Mary, 1763-1852",Former owner,W. S. Lewis collection of Marie du Deffand,,,"Alembert, Jean Le Rond d', 1717-1783; Aydie, Chevalier d' (Blaise Marie), 1692-1761; Barthélemy, J.-J. (Jean-Jacques), 1716-1795; Beauvau, Charles-Juste, prince de, 1720-1793; Boufflers, Stanislas-Jean de, 1738-1815; Champrond, Gaspard-Nicolas de Vichy, comte de, 1699-1781; Choiseul, Etienne-François, duc de, 1719-1785; Choiseul, Louise Honorine Crozat, duchesse de, 1734-1801; Du Deffand, Marie de Vichy Chamrond, marquise, 1697-1780; Formont, Jean-Baptiste-Nicolas, de, -1758; Frederick II, King of Prussia, 1712-1786; Hénault, Charles-Jean-François, 1685-1770; L'Isle, Jean-Baptiste-Nicholas, chevalier de, -1784; Lespinasse, Julie de, 1732-1776; Luynes, Marie Brulart, duchesse de, 1685?-1763.; Marie Leszczyńska, Queen, consort of Louis XV, King of France, 1703-1768; Montesquieu, Charles de Secondat, baron de, 1689-1755; Rousseau, Jean-Jacques, 1712-1778; Sainte-Aulaire, comte de (Louis Clair de Beaupoil), 1778-1854; Staal, Marguerite-Jeanne, baronne de, 1684-1750; Vintimille Du Luc, Pauline de Mailly-Nesle, marquise de, 1712-1741; Voltaire, 1694-1778; Walpole, Horace, 1717-1797; Wiart, Jean-François; Aristocracy (Social class)--France--18th century; Authors, French--18th century; French wit and humor; Gossip--France; Politicians--France--18th century; Salons--France; Word portraits; France--History--18th century; France--Intellectual life--18th century; France--Social life and customs--18th century; France--Politics and government--18th century; Walpole, Horace, 1717-1797--Ms notes; Berry, Mary, 1763-1852--Ms. notes; Sainte-Aulaire, comte de (Louis Clair de Beaupoil), 1778-1854--Ms. notes",Annotations (Provenance); Autographs (manuscripts); Correspondence; Diaries; Ephemera; Poetry; Song sheets,,11747466,11747466-b86512ed-3495-42af-acbc-d947804344ea#http://id.loc.gov/rwo/agents/n82209464,"Religion, Theology, and Spirituality",False
82.0,"Title: Intrusion on study, or, The painter disturbed
Variant titles: Painter disturbed
Subjects: Satires (Visual works)--England--1785; Etchings--England--London--1785; Riviere & Son--Binding; Auchincloss, Hugh Dudley--Ownership; Harvey, Francis--Ownership
Genres: graphic
Provision information: [London]: [S.W. Fores], [30 November 1785]","1001 $aRowlandson, Thomas,$d1756-1827,$eprintmaker.$0http://id.loc.gov/authorities/names/n50022330","Rowlandson, Thomas, 1756-1827",Printmaker,"Intrusion on study, or, The painter disturbed",,"[London]: [S.W. Fores], [30 November 1785]","Satires (Visual works)--England--1785; Etchings--England--London--1785; Riviere & Son--Binding; Auchincloss, Hugh Dudley--Ownership; Harvey, Francis--Ownership",graphic,,12634065,12634065-da851daa-ae06-4ead-9ecf-218b131832b6#http://id.loc.gov/rwo/agents/n50022330,Visual Arts and Design,False
82.0,"Title: Drawing Room, St. James's
Variant titles: Drawing Room, Saint James's
Subjects: Saint James's Palace (London, England); London (England)--Pictorial works; Interiors--England--London; Clothing & dress--England--London; Chandeliers; Aquatints--England--London--1809; Etchings--England--London--1809
Genres: graphic; Book illustrations
Provision information: London: Pub. July 1st, 1809, at R. Ackermann's Repository of Arts, 101 Strand, [1 July 1809]","1001 $aRowlandson, Thomas,$d1756-1827,$eprintmaker.$0http://id.loc.gov/authorities/names/n50022330","Rowlandson, Thomas, 1756-1827",Printmaker,"Drawing Room, St. James's",Rowlandson & Pugin delt. et sculpt. ; J. Bluck aquat,"London: Pub. July 1st, 1809, at R. Ackermann's Repository of Arts, 101 Strand, [1 July 1809]","Saint James's Palace (London, England); London (England)--Pictorial works; Interiors--England--London; Clothing & dress--England--London; Chandeliers; Aquatints--England--London--1809; Etchings--England--London--1809",graphic; Book illustrations,,12977313,12977313-32855684-8246-4692-b2e5-970d6f52c981#http://id.loc.gov/rwo/agents/n50022330,Visual Arts and Design,False
