composite,marcKey,person,roles,title,attribution,provision,subjects,genres,relatedWork,recordId,personId,classification_label,classification_path,top_concepts_json,classification_mode,vector_hash
"Contributor: Schubert, Franz
Title: Archäologie und Photographie: fünfzig Beispiele zur Geschichte und Methode
Attribution: ausgewählt von Franz Schubert und Susanne Grunauer-von Hoerschelmann
Subjects: Photography in archaeology
Provision information: Mainz: P. von Zabern, 1978","7001 $aSchubert, Franz.","Schubert, Franz",Contributor,Archäologie und Photographie: fünfzig Beispiele zur Geschichte und Methode,ausgewählt von Franz Schubert und Susanne Grunauer-von Hoerschelmann,"Mainz: P. von Zabern, 1978",Photography in archaeology,NaN,NaN,53144,53144#Agent700-22,"History, Heritage, and Memory","Humanities, Thought, and Interpretation > History, Heritage, and Memory","[{""concept_uri"": ""history"", ""pref_label"": ""History, Heritage, and Memory"", ""similarity"": 0.2655239701271057}, {""concept_uri"": ""humanities"", ""pref_label"": ""Humanities, Thought, and Interpretation"", ""similarity"": 0.2389441728591919}, {""concept_uri"": ""culturalstudies"", ""pref_label"": ""Cultural and Area Studies"", ""similarity"": 0.23664772510528564}, {""concept_uri"": ""linguistics"", ""pref_label"": ""Language, Linguistics, and Communication"", ""similarity"": 0.219588041305542}, {""concept_uri"": ""philosophy"", ""pref_label"": ""Philosophy and Ethics"", ""similarity"": 0.21677374839782715}]",ClassificationMode.AVERAGE,0e017248bc8358379d87b4a8e0c57c53
"Contributor: Schubert, Franz, 1797-1828
Title: Quartette für zwei Violinen, Viola, Violoncell
Attribution: von Franz Schubert
Subjects: String quartets--Scores
Provision information: Leipzig: C.F. Peters, [19--?]; Partitur","1001 $aSchubert, Franz,$d1797-1828.","Schubert, Franz, 1797-1828",Contributor,"Quartette für zwei Violinen, Viola, Violoncell",von Franz Schubert,"Leipzig: C.F. Peters, [19--?] Partitur",String quartets--Scores,NaN,NaN,772230,772230#Agent100-15,"Music, Sound, and Sonic Arts","Arts, Culture, and Creative Expression > Music, Sound, and Sonic Arts","[{""concept_uri"": ""music"", ""pref_label"": ""Music, Sound, and Sonic Arts"", ""similarity"": 0.11747068166732788}, {""concept_uri"": ""arts"", ""pref_label"": ""Arts, Culture, and Creative Expression"", ""similarity"": 0.09089481830596924}, {""concept_uri"": ""literature"", ""pref_label"": ""Literature and Narrative Arts"", ""similarity"": 0.08877158164978027}, {""concept_uri"": ""humanities"", ""pref_label"": ""Humanities, Thought, and Interpretation"", ""similarity"": 0.08817529678344727}, {""concept_uri"": ""linguistics"", ""pref_label"": ""Language, Linguistics, and Communication"", ""similarity"": 0.08615463972091675}]",ClassificationMode.AVERAGE,e1df9938a3ceb3296c7983dbd0d6f559
"Contributor: Schubert, Franz, 1797-1828
Title: Quartette für zwei Violinen, Viola, Violoncell
Version of: Quartets, violins (2), viola, cello. Selections
Attribution: von Franz Schubert
Subjects: String quartets--Scores
Provision information: Leipzig: C.F. Peters, [19--?]; Partitur","1001 $aSchubert, Franz,$d1797-1828.","Schubert, Franz, 1797-1828",Contributor,"Quartette für zwei Violinen, Viola, Violoncell",von Franz Schubert,"Leipzig: C.F. Peters, [19--?] Partitur",String quartets--Scores,NaN,"Quartets, violins (2), viola, cello. Selections",772230,772230#Hub240-16-Agent,"Music, Sound, and Sonic Arts","Arts, Culture, and Creative Expression > Music, Sound, and Sonic Arts","[{""concept_uri"": ""music"", ""pref_label"": ""Music, Sound, and Sonic Arts"", ""similarity"": 0.12773776054382324}, {""concept_uri"": ""humanities"", ""pref_label"": ""Humanities, Thought, and Interpretation"", ""similarity"": 0.1061132550239563}, {""concept_uri"": ""linguistics"", ""pref_label"": ""Language, Linguistics, and Communication"", ""similarity"": 0.10357600450515747}, {""concept_uri"": ""arts"", ""pref_label"": ""Arts, Culture, and Creative Expression"", ""similarity"": 0.10212427377700806}, {""concept_uri"": ""literature"", ""pref_label"": ""Literature and Narrative Arts"", ""similarity"": 0.09897023439407349}]",ClassificationMode.AVERAGE,2089cf0f964004586955e76db9c0ca78
"Contributor: Schubert, Franz, 1797-1828
Title: Der Hirt auf dem Felsen: nach Wilh. Müllers Gedicht ""Der Berghirt"" : für eine Singstimme mit Begleitung von Klarinette und Pianoforte, op. 129
Attribution: Franz Schubert
Subjects: Müller, Wilhelm, 1794-1827; Songs (High voice) with instrumental ensemble--Scores and parts
Genres: Songs
Provision information: Wiesbaden: Breitkopf & Härtel, [19--]","1001 $aSchubert, Franz,$d1797-1828.","Schubert, Franz, 1797-1828",Contributor,"Der Hirt auf dem Felsen: nach Wilh. Müllers Gedicht ""Der Berghirt"" : für eine Singstimme mit Begleitung von Klarinette und Pianoforte, op. 129",Franz Schubert,"Wiesbaden: Breitkopf & Härtel, [19--]","Müller, Wilhelm, 1794-1827; Songs (High voice) with instrumental ensemble--Scores and parts",Songs,NaN,666968,666968#Agent100-16,"Humanities, Thought, and Interpretation","Humanities, Thought, and Interpretation","[{""concept_uri"": ""humanities"", ""pref_label"": ""Humanities, Thought, and Interpretation"", ""similarity"": 0.1534048318862915}, {""concept_uri"": ""linguistics"", ""pref_label"": ""Language, Linguistics, and Communication"", ""similarity"": 0.13976168632507324}, {""concept_uri"": ""religion"", ""pref_label"": ""Religion, Theology, and Spirituality"", ""similarity"": 0.13173657655715942}, {""concept_uri"": ""philosophy"", ""pref_label"": ""Philosophy and Ethics"", ""similarity"": 0.12921983003616333}, {""concept_uri"": ""culturalstudies"", ""pref_label"": ""Cultural and Area Studies"", ""similarity"": 0.12920743227005005}]",ClassificationMode.AVERAGE,3c4d3f3312ae86efa0688da30e53ea2e
"Contributor: Schubert, Franz, 1797-1828
Title: Quintett in A für Klavier, Violine, Viola, Violoncello und Kontrabass D 667 (op. post. 114): Forellen-Quintett = Quintet in A major for piano, violin, viola, violoncello, and double bass : the Trout quintet
Attribution: Franz Schubert ; herausgegeben von Arnold Feil
Subjects: Quintets (Piano, violin, viola, cello, double bass)--Scores and parts
Provision information: Kassel; New York: Bärenreiter, 1987, c1975","1001 $aSchubert, Franz,$d1797-1828.","Schubert, Franz, 1797-1828",Contributor,"Quintett in A für Klavier, Violine, Viola, Violoncello und Kontrabass D 667 (op. post. 114): Forellen-Quintett = Quintet in A major for piano, violin, viola, violoncello, and double bass : the Trout quintet",Franz Schubert ; herausgegeben von Arnold Feil,"Kassel; New York: Bärenreiter, 1987, c1975","Quintets (Piano, violin, viola, cello, double bass)--Scores and parts",NaN,NaN,786540,786540#Agent100-16,"Music, Sound, and Sonic Arts","Arts, Culture, and Creative Expression > Music, Sound, and Sonic Arts","[{""concept_uri"": ""music"", ""pref_label"": ""Music, Sound, and Sonic Arts"", ""similarity"": 0.15844905376434326}, {""concept_uri"": ""arts"", ""pref_label"": ""Arts, Culture, and Creative Expression"", ""similarity"": 0.132449209690094}, {""concept_uri"": ""literature"", ""pref_label"": ""Literature and Narrative Arts"", ""similarity"": 0.1281830072402954}, {""concept_uri"": ""performingarts"", ""pref_label"": ""Performing Arts and Media"", ""similarity"": 0.12317013740539551}, {""concept_uri"": ""visualarts"", ""pref_label"": ""Visual Arts and Design"", ""similarity"": 0.12256520986557007}]",ClassificationMode.AVERAGE,0320a1948a35b5a04aabb89047255632
"Contributor: Schubert, Franz, 1797-1828
Title: Quintett in A für Klavier, Violine, Viola, Violoncello und Kontrabass D 667 (op. post. 114): Forellen-Quintett = Quintet in A major for piano, violin, viola, violoncello, and double bass : the Trout quintet
Version of: Quintets, piano, violin, viola, cello, double bass, D. 667, A major
Attribution: Franz Schubert ; herausgegeben von Arnold Feil
Subjects: Quintets (Piano, violin, viola, cello, double bass)--Scores and parts
Provision information: Kassel; New York: Bärenreiter, 1987, c1975","1001 $aSchubert, Franz,$d1797-1828.","Schubert, Franz, 1797-1828",Contributor,"Quintett in A für Klavier, Violine, Viola, Violoncello und Kontrabass D 667 (op. post. 114): Forellen-Quintett = Quintet in A major for piano, violin, viola, violoncello, and double bass : the Trout quintet",Franz Schubert ; herausgegeben von Arnold Feil,"Kassel; New York: Bärenreiter, 1987, c1975","Quintets (Piano, violin, viola, cello, double bass)--Scores and parts",NaN,"Quintets, piano, violin, viola, cello, double bass, D. 667, A major",786540,786540#Hub240-17-Agent,"Music, Sound, and Sonic Arts","Arts, Culture, and Creative Expression > Music, Sound, and Sonic Arts","[{""concept_uri"": ""music"", ""pref_label"": ""Music, Sound, and Sonic Arts"", ""similarity"": 0.15520691871643066}, {""concept_uri"": ""arts"", ""pref_label"": ""Arts, Culture, and Creative Expression"", ""similarity"": 0.12906229496002197}, {""concept_uri"": ""literature"", ""pref_label"": ""Literature and Narrative Arts"", ""similarity"": 0.12410318851470947}, {""concept_uri"": ""performingarts"", ""pref_label"": ""Performing Arts and Media"", ""similarity"": 0.12157058715820312}, {""concept_uri"": ""visualarts"", ""pref_label"": ""Visual Arts and Design"", ""similarity"": 0.119270920753479}]",ClassificationMode.AVERAGE,0320a1948a35b5a04aabb89047255632
"Contributor: Wesley, John, 1703-1791
Title: John Wesley's Sunday service of the Methodists in North America
Attribution: with an introduction by James F. White
Subjects: Methodist Episcopal Church--Liturgy--Texts; Methodist Church--Liturgy--Texts
Provision information: [Nashville, Tenn.]: Quarterly Review, c1984","1001 $aWesley, John,$d1703-1791.","Wesley, John, 1703-1791",Contributor,John Wesley's Sunday service of the Methodists in North America,with an introduction by James F. White,"[Nashville, Tenn.]: Quarterly Review, c1984",Methodist Episcopal Church--Liturgy--Texts; Methodist Church--Liturgy--Texts,NaN,NaN,515773,515773#Agent100-17,"Religion, Theology, and Spirituality","Humanities, Thought, and Interpretation > Religion, Theology, and Spirituality","[{""concept_uri"": ""religion"", ""pref_label"": ""Religion, Theology, and Spirituality"", ""similarity"": 0.17746597528457642}, {""concept_uri"": ""humanities"", ""pref_label"": ""Humanities, Thought, and Interpretation"", ""similarity"": 0.1357738971710205}, {""concept_uri"": ""culturalstudies"", ""pref_label"": ""Cultural and Area Studies"", ""similarity"": 0.1323002576828003}, {""concept_uri"": ""socialreform"", ""pref_label"": ""Social Reform, Advocacy, and Activism"", ""similarity"": 0.1315394639968872}, {""concept_uri"": ""media"", ""pref_label"": ""Media, Journalism, and Communication"", ""similarity"": 0.12966686487197876}]",ClassificationMode.AVERAGE,645b22f813ac4dc8ef91c05faecc6e5a
"Contributor: Wesley, John, 1703-1791
Title: John Wesley's Sunday service of the Methodists in North America
Related work: Sunday service of the Methodists in North America. 1984.
Attribution: with an introduction by James F. White
Subjects: Methodist Episcopal Church--Liturgy--Texts; Methodist Church--Liturgy--Texts
Provision information: [Nashville, Tenn.]: Quarterly Review, c1984","70011$aWesley, John,$d1703-1791.$tSunday service of the Methodists in North America.$f1984.$5796","Wesley, John, 1703-1791",Contributor,John Wesley's Sunday service of the Methodists in North America,with an introduction by James F. White,"[Nashville, Tenn.]: Quarterly Review, c1984",Methodist Episcopal Church--Liturgy--Texts; Methodist Church--Liturgy--Texts,NaN,Sunday service of the Methodists in North America. 1984.,515773,515773#Agent700-27,"Religion, Theology, and Spirituality","Humanities, Thought, and Interpretation > Religion, Theology, and Spirituality","[{""concept_uri"": ""religion"", ""pref_label"": ""Religion, Theology, and Spirituality"", ""similarity"": 0.18013131618499756}, {""concept_uri"": ""socialreform"", ""pref_label"": ""Social Reform, Advocacy, and Activism"", ""similarity"": 0.1431342363357544}, {""concept_uri"": ""media"", ""pref_label"": ""Media, Journalism, and Communication"", ""similarity"": 0.1421959400177002}, {""concept_uri"": ""humanities"", ""pref_label"": ""Humanities, Thought, and Interpretation"", ""similarity"": 0.1354256272315979}, {""concept_uri"": ""culturalstudies"", ""pref_label"": ""Cultural and Area Studies"", ""similarity"": 0.1352400779724121}]",ClassificationMode.AVERAGE,00cd84064fc1225b11f1ef258630c8c2
"Contributor: Wesley, John, 1703-1791
Title: John Wesley's Sunday service of the Methodists in North America
Version of: Sunday service of the Methodists in North America
Attribution: with an introduction by James F. White
Subjects: Methodist Episcopal Church--Liturgy--Texts; Methodist Church--Liturgy--Texts
Provision information: [Nashville, Tenn.]: Quarterly Review, c1984","1001 $aWesley, John,$d1703-1791.","Wesley, John, 1703-1791",Contributor,John Wesley's Sunday service of the Methodists in North America,with an introduction by James F. White,"[Nashville, Tenn.]: Quarterly Review, c1984",Methodist Episcopal Church--Liturgy--Texts; Methodist Church--Liturgy--Texts,NaN,Sunday service of the Methodists in North America,515773,515773#Hub240-18-Agent,"Religion, Theology, and Spirituality","Humanities, Thought, and Interpretation > Religion, Theology, and Spirituality","[{""concept_uri"": ""religion"", ""pref_label"": ""Religion, Theology, and Spirituality"", ""similarity"": 0.1678054928779602}, {""concept_uri"": ""socialreform"", ""pref_label"": ""Social Reform, Advocacy, and Activism"", ""similarity"": 0.12888383865356445}, {""concept_uri"": ""media"", ""pref_label"": ""Media, Journalism, and Communication"", ""similarity"": 0.12639212608337402}, {""concept_uri"": ""humanities"", ""pref_label"": ""Humanities, Thought, and Interpretation"", ""similarity"": 0.12637877464294434}, {""concept_uri"": ""culturalstudies"", ""pref_label"": ""Cultural and Area Studies"", ""similarity"": 0.1250920295715332}]",ClassificationMode.AVERAGE,00cd84064fc1225b11f1ef258630c8c2
"Contributor: Strauss, Richard, 1864-1949
Title: The donkey's shadow: comedy in six scenes
Attribution: adapted from Christoph Martin Wieland's novel The Abderites, by Hans Adler ; devised by Dom Stephan Schaller ; orchestrated and completed by Karl Haussner ; vocal score by Karl Haussner ; English version by Maria Pelikan
Subjects: Operas--Vocal scores with piano
Genres: Operas
Provision information: London; New York: Boosey & Hawkes, [1968]","1001 $aStrauss, Richard,$d1864-1949.","Strauss, Richard, 1864-1949",Contributor,The donkey's shadow: comedy in six scenes,"adapted from Christoph Martin Wieland's novel The Abderites, by Hans Adler ; devised by Dom Stephan Schaller ; orchestrated and completed by Karl Haussner ; vocal score by Karl Haussner ; English version by Maria Pelikan","London; New York: Boosey & Hawkes, [1968]",Operas--Vocal scores with piano,Operas,NaN,786805,786805#Agent100-17,"Humanities, Thought, and Interpretation","Humanities, Thought, and Interpretation","[{""concept_uri"": ""humanities"", ""pref_label"": ""Humanities, Thought, and Interpretation"", ""similarity"": 0.12466013431549072}, {""concept_uri"": ""culturalstudies"", ""pref_label"": ""Cultural and Area Studies"", ""similarity"": 0.11756259202957153}, {""concept_uri"": ""linguistics"", ""pref_label"": ""Language, Linguistics, and Communication"", ""similarity"": 0.10636425018310547}, {""concept_uri"": ""history"", ""pref_label"": ""History, Heritage, and Memory"", ""similarity"": 0.10564452409744263}, {""concept_uri"": ""religion"", ""pref_label"": ""Religion, Theology, and Spirituality"", ""similarity"": 0.10448920726776123}]",ClassificationMode.AVERAGE,b9786ccda411885d600532cf72873798
